eis_id,title,document_type,lead_agency,state,all_states,filed_date,filed_year,federal_register_date,comment_letter_date,comment_due_date,epa_impact,epa_adequacy,attachment_count
85764,Stibnite Gold Mine Expansion Project Construction and Operation Plan of Operation Approval NPDES Permit and COE Section 404 Permit Payette National Forest Krassel Ranger District Valley County ID Published FR 12-16-94 - Officially Withdrawn by Prep,Draft,Forest Service,ID,ID,1994-12-08,1994,1994-12-16,1995-02-28,1995-02-28,,,0
85576,Upper Provo River Reservoirs Stabilization Project Implementation Wasatch-Cache National Forest Kamas Ranger District Summit County UT,Draft,Forest Service,UT,UT,1994-12-08,1994,1994-12-16,1995-02-03,1995-01-31,Environmental Concerns,1.0,0
80776,Food and Drug Administration Consolidation Site Selection Montgomery County Campus Montgomery and Prince George's Counties MD,Draft,General Services Administration,MD,MD,1994-12-09,1994,1994-12-16,1995-02-17,1995-02-17,Environmental Concerns,2.0,0
88766,Camp Lejeune Marine Corps Base Disposal of Non-Hazardous Solid Waste Project Implementation COE Section 404 and NPDES Permits Onslow County NC,Final,United States Navy,NC,NC,1994-12-09,1994,1994-12-16,1995-01-13,1995-01-16,Lack of Objections,,0
81300,Obed Wild and Scenic River General Management Plan and Development Concept Plan Implementation Morgan and Cumberland Counties TN,Draft,National Park Service,TN,TN,1994-12-12,1994,1994-12-23,1995-01-30,1995-02-06,Environmental Concerns,2.0,0
85159,Telluride Ski Area Expansion Project Implementation Special-Use-Permit and COE Section 404 Permit Additional Information Grand Mesa Uncompahyre and Gunnion National Forests Norwood Ranger District San Miguel County CO,Draft Supplement,Forest Service,CO,CO,1994-12-13,1994,1994-12-23,,1995-02-06,,,0
76895,Gulf of Mexico Outer Continental (OSC) Region Oil and Gas Extraction Activities General New Source NPDES Permit Issuance Updated Information Offshore TX and LA,Final Supplement,Environmental Protection Agency,,,1994-12-15,1994,1994-12-23,1995-01-23,1995-01-23,,,0
77788,Tuscarora Natural Gas Pipeline Project Construction and Operation Right-of-Way Grant Special-Use-Permit NPDES Permit and COE Section 404 Permit Lassen County CA; Washoe and Storey Counties NV and Klamath County OR,Draft,Federal Energy Regulatory Commission,,,1994-12-15,1994,1994-12-23,1995-02-06,1995-02-06,Environmental Concerns,2.0,0
78260,Grand Parkway Segment (TX-99) Improvements Project from TX-225 to I-10 Funding COE Section 404 Permit and Right-of-Way Grant Harris and Chambers Counties TX,Draft,Federal Highway Administration,TX,TX,1994-12-15,1994,1994-12-23,1995-02-14,1995-02-06,Environmental Concerns,2.0,0
78825,US 220 Transportation Improvements Project Bald Eagle Village to Interstate 80 (I-80) Funding and COE Section 404 Permit Blair and Centre Counties PA Published FR -12-27-96 - Review Period Reopened.,Draft,Federal Highway Administration,PA,PA,1994-12-15,1994,1994-12-23,1995-05-23,1995-05-22,Environmental Objections,2.0,0
80665,1995 Central and Western Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales 152 (April 1995) and 155 (August 1995) Lease Offering Offshore Marine Environment and coastal counties AL MS LA and TX,Final,Minerals Management Service,,,1994-12-16,1994,1994-12-23,1995-01-11,1995-01-23,Lack of Objections,,0
76800,Fish Passage Improvements Savage Rapids Dam Implementation Grants Pass Irrigation District Rogue River Josephine and Jackson Counties OR,Draft,Bureau of Reclamation,OR,OR,1994-12-16,1994,1994-12-23,1995-05-04,1995-03-20,Lack of Objections,,0
